Loaded graph.
Prim's Algorithm took 0.02 seconds
MST Edges:
(2)[MainStreetCinema] <-> (10)[CarnationCafe] Weight: 43.32
(10)[CarnationCafe] <-> (9)[BlueRibbonBakery] Weight: 17.03
(9)[BlueRibbonBakery] <-> (11)[GibsonGirlIceCreamParlor] Weight: 18.11
(11)[GibsonGirlIceCreamParlor] <-> (14)[MainStreetRefreshmentCorner] Weight: 20.00
(2)[MainStreetCinema] <-> (12)[MainStreetConeShop] Weight: 58.83
(12)[MainStreetConeShop] <-> (13)[PlazaInn] Weight: 67.03
(13)[PlazaInn] <-> (71)[AstroOrbitor] Weight: 46.04
(71)[AstroOrbitor] <-> (68)[PixieHollow] Weight: 51.48
(68)[PixieHollow] <-> (73)[AstroBlasters] Weight: 45.28
(73)[AstroBlasters] <-> (81)[StarTours] Weight: 52.80
(68)[PixieHollow] <-> (53)[AliceInWonderland] Weight: 68.45
(53)[AliceInWonderland] <-> (60)[MadTeaParty] Weight: 29.00
(60)[MadTeaParty] <-> (67)[StoryBookLandCanalBoats] Weight: 42.52
(60)[MadTeaParty] <-> (62)[MrToadsWildRide] Weight: 43.01
(62)[MrToadsWildRide] <-> (63)[PeterPansFlight] Weight: 22.14
(62)[MrToadsWildRide] <-> (56)[Dumbo] Weight: 26.91
(67)[StoryBookLandCanalBoats] <-> (61)[MatterhornBobsleds] Weight: 55.01
(63)[PeterPansFlight] <-> (65)[SleepingBeauty] Weight: 55.04
(65)[SleepingBeauty] <-> (59)[KingArthurCarrousel] Weight: 29.00
(59)[KingArthurCarrousel] <-> (55)[CaseyJrCircusTrain] Weight: 24.41
(55)[CaseyJrCircusTrain] <-> (69)[VillageHausRestaurant] Weight: 32.76
(69)[VillageHausRestaurant] <-> (64)[PinocchiosDaringJourney] Weight: 18.03
(64)[PinocchiosDaringJourney] <-> (54)[BibbidiBobbidiBoutique] Weight: 2.00
(54)[BibbidiBobbidiBoutique] <-> (66)[SnowWhite] Weight: 23.32
(56)[Dumbo] <-> (70)[TroubadourTavern] Weight: 62.00
(70)[TroubadourTavern] <-> (57)[PrincessFantasyFaire] Weight: 19.03
(70)[TroubadourTavern] <-> (45)[RailroadToontown] Weight: 24.76
(57)[PrincessFantasyFaire] <-> (46)[DonaldsBoat] Weight: 36.00
(46)[DonaldsBoat] <-> (48)[GoofysPlayhouse] Weight: 22.02
(48)[GoofysPlayhouse] <-> (52)[ToontownDining] Weight: 36.72
(52)[ToontownDining] <-> (50)[MinniesHouse] Weight: 44.10
(50)[MinniesHouse] <-> (49)[MickeysHouse] Weight: 25.96
(49)[MickeysHouse] <-> (44)[ChipNDaleTreehouse] Weight: 37.12
(44)[ChipNDaleTreehouse] <-> (47)[GadgetsGoCoaster] Weight: 25.08
(45)[RailroadToontown] <-> (51)[RogerRabbitsCarToonSpin] Weight: 64.14
(61)[MatterhornBobsleds] <-> (58)[itsasmallworld] Weight: 66.61
(2)[MainStreetCinema] <-> (4)[HorseDrawnStreetcars] Weight: 74.22
(4)[HorseDrawnStreetcars] <-> (1)[RailRoadMainStreet] Weight: 39.45
(1)[RailRoadMainStreet] <-> (5)[HorselessCarriage] Weight: 16.97
(5)[HorselessCarriage] <-> (3)[FireEngine] Weight: 19.21
(4)[HorseDrawnStreetcars] <-> (6)[Omnibus] Weight: 47.10
(6)[Omnibus] <-> (7)[DisneyGallery] Weight: 24.08
(7)[DisneyGallery] <-> (8)[GreatMomentsWithMrLincoln] Weight: 21.02
(14)[MainStreetRefreshmentCorner] <-> (38)[EnchantedTikiRoom] Weight: 77.79
(38)[EnchantedTikiRoom] <-> (43)[TikiJuiceBar] Weight: 19.10
(43)[TikiJuiceBar] <-> (40)[JungleCruise] Weight: 49.65
(40)[JungleCruise] <-> (42)[BengalBarbecue] Weight: 42.52
(42)[BengalBarbecue] <-> (31)[RiverBelleTerrace] Weight: 31.32
(31)[RiverBelleTerrace] <-> (41)[TarzansTreehouse] Weight: 29.15
(42)[BengalBarbecue] <-> (29)[StageDoorCafe] Weight: 34.21
(29)[StageDoorCafe] <-> (28)[GoldenHorseshoeStage] Weight: 27.02
